"general_concept_id","category","subcategory","general_concept_name","comments"
302,"Ventilation","Oxygenation","Oxygen flow rate","# Definition

Oxygen flow rate represents the volume of supplemental oxygen delivered to the patient per unit of time, expressed in **liters per minute (L/min)**. Typical flow rates range from 0.5 to 15 L/min for low-flow devices, and up to 60 L/min for high-flow nasal cannula systems.

# Mapping Strategy

Oxygen flow rate is documented for **low-flow and high-flow oxygen delivery systems** where the flow rate (not FiO2) is the primary controlled parameter. Use this concept for patients receiving oxygen therapy without mechanical ventilation.

## Recommended concepts

**Default concepts:**

- **Delivered oxygen flow rate** (SNOMED 427081008): Use for all oxygen flow rate measurements
- **Inhaled oxygen flow rate** (LOINC 3151-8): Use for all oxygen flow rate measurements

## Not recommended for routine use

- **Delivered oxygen flow rate to non ventilated lung** (SNOMED 698833004): Redundant with the generic ""Delivered oxygen flow rate"" concept (SNOMED 427081008). Use the generic concept instead for all patients receiving oxygen therapy without mechanical ventilation.

# Important Notes

- **Distinction from FiO2**:
  - **Oxygen flow rate** = oxygen delivery rate (L/min) - use this concept for flow-based oxygen therapy
  - **FiO2** = oxygen concentration (%) - see the **""FiO2""** general concept for controlled oxygen concentration devices
  - Do not convert flow rate to FiO2; document the actual measured or set parameter

- **When to use oxygen flow rate**:
  - **Low-flow oxygen devices**: Nasal cannula (0.5-6 L/min), simple face mask (5-10 L/min), partial rebreather mask (6-15 L/min), non-rebreather mask (10-15 L/min)
  - **High-flow nasal cannula (HFNC)**: When documenting the flow rate in L/min (typically 20-60 L/min). HFNC also displays FiO2 separately - document both parameters using respective concepts.
  - **Anesthesia fresh gas flow**: Total flow rate of gas mixture delivered by anesthesia machine (synonym: ""Fresh gas flow rate"")

- **When NOT to use oxygen flow rate**:
  - **Mechanical ventilation**: Use **""FiO2""** concept instead (ventilators control oxygen concentration, not flow rate)
  - **Venturi masks**: These deliver controlled FiO2 (24%, 28%, 31%, etc.) - use **""FiO2""** concept, not flow rate

- **Clinical context by device**:
  - **Nasal cannula**: 0.5-6 L/min (higher flows cause nasal drying and discomfort)
  - **Simple face mask**: 5-10 L/min (minimum 5 L/min to prevent CO2 rebreathing)
  - **Non-rebreather mask**: 10-15 L/min (reservoir bag should remain inflated)
  - **High-flow nasal cannula (HFNC)**: 20-60 L/min (provides heated and humidified oxygen with adjustable FiO2)

- **Units**: Oxygen flow rate should be documented in **liters per minute (L/min)** (UCUM concept ID 8698)."
303,"Ventilation","Ventilation device","Extubation","# Definition

Extubation is the procedure of removing an endotracheal tube or tracheostomy tube from a patient's airway, resulting in discontinuation of invasive airway management. This can be planned (elective extubation after weaning from mechanical ventilation) or unplanned (accidental or self-extubation). No measurement units apply (procedure documentation).

# Mapping Strategy

For ICU documentation, distinguish between **planned extubation** (removal of endotracheal or tracheostomy tube as part of clinical care) and **unplanned extubation** (accidental removal). Use specific concepts based on the tube type and whether the extubation was planned or unplanned.

**For tube replacement or maintenance procedures** (changing endotracheal tube, changing tracheostomy tube, changing tube securing devices), refer to the dedicated general concept **""Airway device change""**.

## Recommended concepts

**Planned extubation:**

- **Extubation of trachea** (SNOMED 309812005): Use for planned removal of endotracheal tube
- **Removal of endotracheal tube** (SNOMED 271280005): Use for planned removal of endotracheal tube (alternative to 309812005)
- **Removal of tracheostomy tube** (SNOMED 113153002): Use for planned removal of tracheostomy tube (decannulation)

**Unplanned extubation:**

- **Inadvertent tracheal extubation** (SNOMED 405639008): Use for accidental or self-extubation of endotracheal tube
- **Unplanned extubation** (LOINC LA7296-2): Use for unplanned removal of endotracheal tube (alternative to SNOMED 405639008)

## Not recommended for this concept

**Tube replacement and maintenance procedures:**

- **Changing endotracheal tube** (SNOMED 225719006): Not recommended - use general concept ""Airway device change"" instead
- **Changing tracheostomy tube** (SNOMED 2267008): Not recommended - use general concept ""Airway device change"" instead
- **Changing endotracheal tube headband** (SNOMED 225720000): Not recommended - use general concept ""Airway device change"" instead

# Important Notes

- **Planned vs unplanned extubation**:
  - **Planned extubation**: Removal of endotracheal tube after successful weaning trial and clinical readiness assessment (use SNOMED 309812005 or 271280005)
  - **Unplanned extubation**: Accidental removal including self-extubation by patient, dislodgement during care, or device failure (use SNOMED 405639008 or LOINC LA7296-2)
  - Unplanned extubation is a quality indicator and adverse event that requires documentation and review

- **Extubation vs tube change**:
  - **Extubation**: Complete removal of the tube with discontinuation of invasive airway management - patient is no longer intubated
  - **Tube change**: Replacement of an existing tube with a new one while maintaining the airway - patient remains intubated (see general concept ""Airway device change"")
"
304,"Ventilation","Ventilation device","Humidification Therapy","# Definition

Humidification therapy refers to the process of adding moisture to inspired gases to prevent drying and damage to the respiratory mucosa in patients receiving mechanical ventilation or respiratory support. For invasive mechanical ventilation, humidification is achieved through active humidification systems (heated humidifiers) or passive systems (heat and moisture exchangers). No measurement units apply for procedures and devices (document device presence/type or humidification procedure).

# Mapping Strategy

For ICU documentation, distinguish between **humidification procedures** (Procedure domain - therapeutic intervention) and **humidification devices** (Device domain - equipment used). Document the procedure when recording the clinical intervention, and document the device when recording the equipment type in use. Avoid concepts that describe non-invasive therapeutic inhalations (steam, mist, menthol) which are symptomatic treatments for spontaneously breathing patients.

**IMPORTANT**: Some concepts are Procedures (therapeutic interventions) while others are Devices (equipment). Choose the appropriate domain based on what you are documenting.

## Recommended concepts

**Humidification procedures** (Procedure domain - document the therapeutic intervention):

- **Inspired gas humidification** (SNOMED 286814009, Procedure): Use to document humidification of inspired gases in mechanically ventilated patients (generic procedure concept)
- **Ultrasonic humidification** (SNOMED 229302002, Procedure): Use when ultrasonic nebulization is specifically used for humidification

**Humidification devices** (Device domain - document the equipment type):

- **Heat and moisture exchanger** (SNOMED 297117007, Device): Passive humidification device (HME) - hygroscopic filter that captures and returns heat/moisture
- **Heated respiratory humidifier** (SNOMED 700593005, Device): Active humidification device with heating element and water chamber
- **Respiratory humidifier** (SNOMED 706180003, Device): Generic respiratory humidifier when specific type is unspecified

**Specialized humidification devices** (Device domain):

- **Non-heated respiratory humidifier** (SNOMED 700705005, Device): Cold humidifier without heating element (less common for mechanical ventilation)
- **Ultrasonic respiratory humidifier** (SNOMED 700910000, Device): Ultrasonic nebulizer used for humidification
- **High-flow heated respiratory humidifier** (SNOMED 700630004, Device): Heated humidifier for high-flow oxygen therapy (e.g., HFNC)
- **High-flow non-heated respiratory humidifier** (SNOMED 1246607, Device): Non-heated humidifier for high-flow systems

**Humidifier settings** (Measurement domain):

- **Humidifier heated wire temperature differential setting Ventilator airway circuit** (LOINC 57652-0, Measurement): Temperature differential setting for heated wire circuits (prevents condensation/rainout)

## Not recommended for invasive mechanical ventilation

These concepts describe **non-invasive inhalation therapies** (Procedure domain) for spontaneously breathing patients, not humidification systems for mechanically ventilated patients. Do not use these concepts for ICU ventilator humidification:

- **Humidification therapy** (SNOMED 243130008, Procedure): Too vague and generic; does not specify inspired gas humidification for mechanical ventilation. Use ""Inspired gas humidification"" (286814009) instead.
- **Fog inhalation therapy** (SNOMED 80677001, Procedure): Aerosol therapy for spontaneously breathing patients (not ventilator humidification)
- **Mist inhalation therapy** (SNOMED 229303007, Procedure): Inhalation of water vapor/mist for symptomatic relief in non-intubated patients
- **Steam inhalations** (SNOMED 229304001, Procedure): Hot steam inhalation therapy for spontaneously breathing patients (e.g., for upper respiratory tract symptoms)
- **Menthol inhalations** (SNOMED 229305000, Procedure): Therapeutic inhalations with menthol for symptomatic relief (not humidification)

# Important Notes

- **Procedure vs Device documentation**:
  - **Procedure concepts**: Use when documenting the clinical intervention (e.g., ""patient received inspired gas humidification during mechanical ventilation"")
  - **Device concepts**: Use when documenting the equipment (e.g., ""heat and moisture exchanger in use"" or ""heated respiratory humidifier connected to ventilator circuit"")
  - Both can be documented for the same patient: the procedure indicates what was done, the device indicates what equipment was used

- **Humidification methods for mechanical ventilation**:
  - **Active humidification (heated humidifier)**: Water-based device (SNOMED 700593005, Device) that actively heats and humidifies inspired gas to body temperature (37°C) and full saturation (44 mg H2O/L). Provides optimal humidification but requires water chamber, heating element, and monitoring.
  - **Passive humidification (HME)**: Heat and moisture exchanger (SNOMED 297117007, Device) - hygroscopic filter that captures heat and moisture from exhaled gas and returns it to inspired gas. Simpler and cheaper but less efficient than active humidification.

- **High-flow humidification**:
  - **High-flow nasal cannula (HFNC)**: Requires high-flow heated humidifier (SNOMED 700630004, Device) capable of delivering flows up to 60 L/min with precise FiO2 control (21-100%)
  - Non-invasive respiratory support with heated and humidified oxygen
  - Document both the humidifier device and flow rate/FiO2 settings separately

- **Distinction from nebulization**:
  - **Humidification**: Adds water vapor to prevent airway drying (continuous process during ventilation) - use humidification concepts
  - **Nebulization**: Delivers aerosolized medication (bronchodilators, mucolytics) for therapeutic purposes - document separately as drug administration
  - These are separate processes with different purposes"
305,"Ventilation","Ventilation device","Endotracheal intubation","# Definition

Endotracheal intubation is the placement of a flexible tube into the trachea to maintain an open airway and enable mechanical ventilation. This is one of the most critical procedures in intensive care medicine for airway management in patients requiring respiratory support or airway protection.

# Mapping Strategy

Prioritize the **most specific concept** that captures the **route** (oral vs nasal), **technique** (direct laryngoscopy, fiberoptic, etc.), and **clinical context** (emergency, awake, etc.).

**For complex intubation scenarios**, use multiple concepts linked via **OMOP FACT_RELATIONSHIP** table to capture different dimensions:
- Base procedure (route + technique)
- Clinical context (emergency, difficult, unplanned)
- Specialized equipment or approach

## Recommended concepts

**Default and standard intubation routes:**

- **Insertion of endotracheal tube** (SNOMED 112798008): Generic endotracheal intubation - use when route/technique are unspecified
- **Intubation of respiratory tract** (SNOMED 447996002): Generic respiratory tract intubation (use when tracheal specificity is uncertain)
- **Orotracheal intubation** (SNOMED 232674004): Intubation via the oral route (most common in ICU)
- **Nasotracheal intubation** (SNOMED 232679009): Intubation via the nasal route

**Standard intubation techniques:**

- **Insertion of endotracheal tube using laryngoscope** (SNOMED 429161001): Direct laryngoscopy-guided intubation (most common technique)
- **Orotracheal fiberoptic intubation** (SNOMED 232678001): Fiberoptic-guided oral intubation
- **Blind nasal intubation** (SNOMED 232681006): Nasal intubation without direct visualization
- **Digital assisted intubation** (SNOMED 427331009): Blind digital/tactile intubation (rare emergency technique)
- **Tracheal intubation using rigid bronchoscope** (SNOMED 232677006): Rigid bronchoscopy-assisted intubation

**Clinical context modifiers:**

- **Emergency laryngeal intubation** (SNOMED 182682004): Emergency airway management
- **Endotracheal intubation, emergency procedure** (SNOMED 16883004): Urgent/emergent endotracheal intubation
- **Awake intubation** (SNOMED 304341005): Intubation performed while patient is conscious
- **Oral intubation awake** (SNOMED 232675003): Awake intubation via oral route
- **Nasal intubation awake** (SNOMED 232680007): Awake intubation via nasal route

**Quality indicators (observations to link via FACT_RELATIONSHIP):**

- **Difficult intubation** (LOINC 95050-1): Observation that intubation was difficult (Cormack-Lehane grade 3-4, multiple attempts, rescue devices)
- **Unplanned intubation** (LOINC 36309319): Unplanned/emergent intubation event (quality metric, e.g., reintubation within 48-72 hours)

**Surgical airway procedures:**

- **Cricothyroidotomy tube insertion** (SNOMED 232683009): Emergency surgical airway through cricothyroid membrane
- **Scalpel bougie cricothyroidotomy** (SNOMED 785906002): Surgical cricothyroidotomy using scalpel-bougie technique
- **Minitrach insertion** (SNOMED 232684003): Percutaneous cricothyroidotomy (narrow catheter)

**Tracheostomy tube procedures:**

- **Insertion of tracheostomy tube** (SNOMED 232685002): Placement of tube through established tracheostomy stoma
- **Insertion of tracheal T-tube** (SNOMED 232686001): Insertion of Montgomery T-tube

**Specialized tubes:**

- **Insertion of double lumen tracheobronchial tube** (SNOMED 733509002): Double-lumen tube for lung isolation (thoracic surgery)

# Using FACT_RELATIONSHIP to Link Concepts

For complex intubation scenarios, create **multiple records** and link them using the **FACT_RELATIONSHIP** table. This approach captures clinical nuance while maintaining data structure.

## Example 1: Difficult Emergency Intubation

**Clinical scenario:** Patient in respiratory failure requires emergency intubation. Multiple attempts with direct laryngoscopy were needed (Cormack-Lehane grade 3).

**Records to create:**

**PROCEDURE_OCCURRENCE table:**
- procedure_concept_id = 429161001 (Insertion of endotracheal tube using laryngoscope)
- procedure_occurrence_id = 10001

**PROCEDURE_OCCURRENCE table:**
- procedure_concept_id = 16883004 (Endotracheal intubation, emergency procedure)
- procedure_occurrence_id = 10002

**OBSERVATION table:**
- observation_concept_id = 36660691 (Difficult intubation)
- observation_occurrence_id = 20001

**FACT_RELATIONSHIP table:**
- domain_concept_id_1 = 27 (Procedure)
- fact_id_1 = 10001
- domain_concept_id_2 = 27 (Procedure)
- fact_id_2 = 10002
- relationship_concept_id = 44818790 (Has procedure context)

**FACT_RELATIONSHIP table:**
- domain_concept_id_1 = 27 (Procedure)
- fact_id_1 = 10001
- domain_concept_id_2 = 27 (Observation)
- fact_id_2 = 20001
- relationship_concept_id = 44818791 (Has temporal context)

**Interpretation:** Emergency intubation performed via direct laryngoscopy, complicated by difficult airway.

## Example 2: Unplanned Reintubation After Extubation

**Clinical scenario:** Patient extubated in the morning, develops respiratory distress 8 hours later and requires reintubation (quality metric: unplanned intubation).

**Records to create:**

**PROCEDURE_OCCURRENCE table (extubation):**
- procedure_concept_id = [concept from general concept **Extubation**]
- procedure_occurrence_id = 10003
- procedure_datetime = [morning time]

**PROCEDURE_OCCURRENCE table (reintubation):**
- procedure_concept_id = 4335481 (Orotracheal intubation)
- procedure_occurrence_id = 10004
- procedure_datetime = [8 hours later]

**OBSERVATION table:**
- observation_concept_id = 36309319 (Unplanned intubation)
- observation_occurrence_id = 20002

**FACT_RELATIONSHIP table:**
- domain_concept_id_1 = 27 (Procedure)
- fact_id_1 = 10004
- domain_concept_id_2 = 27 (Observation)
- fact_id_2 = 20002
- relationship_concept_id = 44818791 (Has temporal context)

**FACT_RELATIONSHIP table:**
- domain_concept_id_1 = 27 (Procedure)
- fact_id_1 = 10003
- domain_concept_id_2 = 27 (Procedure)
- fact_id_2 = 10004
- relationship_concept_id = 45905793 (Followed by)

**Interpretation:** Orotracheal reintubation following extubation, documented as unplanned event for quality monitoring. The temporal relationship between extubation and reintubation is captured via FACT_RELATIONSHIP.

## Example 3: Awake Fiberoptic Intubation for Anticipated Difficult Airway

**Clinical scenario:** Patient with suspected difficult airway (neck mass, limited mouth opening) undergoes awake fiberoptic nasal intubation.

**Records to create:**

**PROCEDURE_OCCURRENCE table:**
- procedure_concept_id = 232678001 (Orotracheal fiberoptic intubation)
- procedure_occurrence_id = 10005

**PROCEDURE_OCCURRENCE table:**
- procedure_concept_id = 232680007 (Nasal intubation awake)
- procedure_occurrence_id = 10006

**FACT_RELATIONSHIP table:**
- domain_concept_id_1 = 27 (Procedure)
- fact_id_1 = 10005
- domain_concept_id_2 = 27 (Procedure)
- fact_id_2 = 10006
- relationship_concept_id = 44818790 (Has procedure context)

**Interpretation:** Awake nasal intubation using fiberoptic technique.

## Example 4: Failed Intubation → Emergency Cricothyroidotomy

**Clinical scenario:** Multiple failed intubation attempts (cannot intubate, cannot ventilate) leading to emergency surgical cricothyroidotomy.

**Records to create:**

**OBSERVATION table:**
- observation_concept_id = 36660691 (Difficult intubation)
- observation_occurrence_id = 20003

**PROCEDURE_OCCURRENCE table (successful rescue airway):**
- procedure_concept_id = 37206251 (Scalpel bougie cricothyroidotomy)
- procedure_occurrence_id = 10007

**FACT_RELATIONSHIP table:**
- domain_concept_id_1 = 27 (Procedure)
- fact_id_1 = 10007
- domain_concept_id_2 = 27 (Observation)
- fact_id_2 = 20003
- relationship_concept_id = 44818791 (Has temporal context)

**Interpretation:** Failed difficult intubation requiring emergency cricothyroidotomy. The difficult intubation observation is linked to the rescue cricothyroidotomy procedure.

## Example 5: Routine ICU Intubation (Simple Case)

**Clinical scenario:** Standard orotracheal intubation via direct laryngoscopy, no complications.

**Records to create:**

**PROCEDURE_OCCURRENCE table:**
- procedure_concept_id = 429161001 (Insertion of endotracheal tube using laryngoscope)
- procedure_occurrence_id = 10008

**Alternative:**
- procedure_concept_id = 4335481 (Orotracheal intubation)

**Interpretation:** Single procedure record sufficient when no complications or special context.

# Clinical Context

**For routine ICU intubation:**
- Use single procedure concept: **""Insertion of endotracheal tube using laryngoscope""** or **""Orotracheal intubation""**
- No FACT_RELATIONSHIP needed unless complications occur

**For complicated intubations:**
- Use base procedure + clinical context modifiers linked via FACT_RELATIONSHIP
- Example: Base = ""Orotracheal intubation"" + Context = ""Emergency procedure"" + Observation = ""Difficult intubation""

**For emergency intubations:**
- Link emergency context using **""Endotracheal intubation, emergency procedure""** or **""Emergency laryngeal intubation""**

# Important Notes

- **Use FACT_RELATIONSHIP liberally** to capture clinical complexity without creating overly specific pre-coordinated concepts
- **Document intubation as a procedure**, not as a device exposure - the presence of an endotracheal tube over time should be captured separately as device exposure
- **Reintubation** should be captured as a new procedure with ""Unplanned intubation"" observation linked via FACT_RELATIONSHIP, and linked to the preceding extubation procedure using the general concept **Extubation**"
306,"Ventilation","Ventilation device","Invasive mechanical ventilation","# Definition

Invasive mechanical ventilation is the delivery of positive pressure ventilation to the lungs via an artificial airway (endotracheal tube or tracheostomy). This life-support intervention is used in critically ill patients who cannot maintain adequate spontaneous ventilation due to respiratory failure, impaired consciousness, or the need for airway protection during sedation.

# Mapping Strategy

Prioritize the **most specific ventilation mode concept** that captures the ventilator settings documented in your source data. For routine documentation of invasive mechanical ventilation without mode details, use the generic **""Invasive mechanical ventilation""** concept.

**Important:** Document invasive mechanical ventilation as a **procedure** (the act of providing ventilation), not as a device exposure. The presence of a ventilator device over time should be captured separately as device exposure.

For complex ventilation strategies involving mode changes or adjunct therapies, consider linking multiple concepts via **FACT_RELATIONSHIP** table.

## Recommended concepts

**Default concept:**

- **Invasive mechanical ventilation** (SNOMED 1258985005): Generic invasive mechanical ventilation - use when ventilation mode is unspecified or unavailable
- **Invasive mechanical ventilation by intubation or tracheostomy** (LOINC LA26607-4): LOINC measurement value indicating invasive mechanical ventilation status (use as answer value in observation records or when LOINC coding is preferred)

**Assist-Control Ventilation (AC/CMV):**

- **Assisted controlled mandatory ventilation** (SNOMED 243150007): Generic assist-control mode
- **Assist control ventilation volume-control inflation-type** (SNOMED 1186745009): Volume-controlled AC (VC-AC) - set tidal volume, variable pressure
- **Assist control ventilation pressure control inflation-type** (SNOMED 1186746005): Pressure-controlled AC (PC-AC) - set pressure, variable tidal volume
- **Assist control ventilation volume-targeted pressure-control inflation-type** (SNOMED 1186747001): Pressure-regulated volume control (PRVC) - targets tidal volume using pressure control
- **Assist control ventilation pressure-control inflation-type and assured constant airway pressure adjunct** (SNOMED 1186748006): PC-AC with continuous airway pressure support
- **Assist control ventilation volume-targeted pressure-control inflation-type and assured constant airway pressure adjunct** (SNOMED 1186744008): PRVC with continuous airway pressure support

**Synchronized Intermittent Mandatory Ventilation (SIMV):**

- **Synchronized intermittent mandatory ventilation** (SNOMED 59427005): Generic SIMV mode
- **Synchronized intermittent mandatory ventilation - volume control pressure-support inflation** (SNOMED 1186621003): SIMV with volume-controlled mandatory breaths + pressure support
- **Synchronized intermittent mandatory ventilation - pressure-control pressure-support inflation** (SNOMED 1186622005): SIMV with pressure-controlled mandatory breaths + pressure support
- **Synchronized intermittent mandatory ventilation - volume targeted pressure-control and pressure-support inflation** (SNOMED 1186679003): SIMV with PRVC mandatory breaths + pressure support
- **Synchronized intermittent mandatory ventilation volume control inflation and an assured constant airway pressure adjunct during expiratory phase** (SNOMED 1186680000): SIMV-VC with CPAP during expiration
- **Synchronized intermittent mandatory ventilation with pressure-control, two levels of pressure-support and an assured constant airway pressure adjunct** (SNOMED 1186681001): SIMV-PC with BiLevel pressure support + CPAP
- **Synchronized intermittent mandatory ventilation with pressure-control, one level of pressure-support active during both phases and an assured constant airway pressure adjunct** (SNOMED 1186682008): SIMV-PC with continuous pressure support + CPAP
- **Synchronized intermittent mandatory ventilation with pressure-control, an assured constant airway pressure adjunct and pressure-support at the higher pressure level only** (SNOMED 1186683003): SIMV-PC with CPAP + pressure support during high-pressure phase
- **Synchronized intermittent mandatory ventilation with synchronized termination pressure-control, pressure-support and an assured constant airway pressure adjunct** (SNOMED 1186684009): SIMV-PC with synchronized termination + pressure support + CPAP
- **Synchronized intermittent mandatory ventilation with volume targeted pressure-control, pressure-support and an assured constant airway pressure adjunct** (SNOMED 1186685005): SIMV-PRVC with pressure support + CPAP

**Advanced ventilation modes:**

- **Airway pressure release ventilation** (SNOMED 243143008): APRV - lung-protective ventilation using high continuous positive airway pressure with brief pressure releases
- **Bilevel positive airway pressure titration** (SNOMED 447243000): BiPAP/BiLevel ventilation (can be invasive or non-invasive)
- **Neurally adjusted ventilatory assist** (SNOMED 1297240007): NAVA mode - ventilation synchronized with diaphragmatic electrical activity
- **High frequency jet ventilation** (SNOMED 243154003): High-frequency ventilation mode (specialized, often for neonatal/pediatric or airway surgery)

# Clinical Context

**For routine ICU mechanical ventilation:**
- Use **""Invasive mechanical ventilation""** (SNOMED 1258985005) when ventilation mode is not documented or not clinically relevant to capture
- Document ventilation as procedure with start and end times (duration of mechanical ventilation)

**For mode-specific and specialized ventilation:**
- Use **assist-control concepts** for fully controlled ventilation (all breaths delivered by ventilator)
- Use **SIMV concepts** for partial ventilatory support (combination of mandatory and spontaneous breaths)
- Choose volume vs pressure variants based on primary ventilator setting mode
- Use **APRV** for lung-protective ventilation in severe ARDS (maintains high CPAP with brief pressure releases)
- Use **NAVA** for neurally-adjusted ventilation (requires diaphragmatic electrode)
- Use **high-frequency ventilation** for specialized modes (typically neonatal, pediatric, or airway surgery)
- Use **BiLevel concepts** when BiPAP/BiLevel is delivered invasively via endotracheal tube (note: most BiPAP is non-invasive)

**For ventilator weaning:**
- Document mode changes via separate procedure records linked with FACT_RELATIONSHIP
- Common weaning progression: AC → SIMV → Pressure Support → Spontaneous breathing trial
- For spontaneous breathing trials, see general concept **Spontaneous breathing trial**

# Important Notes

- **Invasive mechanical ventilation requires an artificial airway** (endotracheal tube or tracheostomy) - distinguish from non-invasive ventilation (NIV) via face mask or nasal mask
- **Document ventilation mode changes** as separate procedure records with temporal relationships via FACT_RELATIONSHIP
- **Ventilation is a procedure, not a device** - the ventilator itself should be captured as device exposure in DEVICE_EXPOSURE table
- **Always link mechanical ventilation to the airway procedure** (intubation or tracheostomy) via FACT_RELATIONSHIP to capture complete clinical context"
307,"Ventilation","Ventilation device","Non-invasive ventilation",NA
308,"Ventilation","Ventilation device","Oxygen device",NA
309,"Ventilation","Ventilation device","Trial of spontaneous breathing",NA
310,"Ventilation","Ventilation parameters","Breath cycle timing",NA
311,"Ventilation","Ventilation parameters","Carbon dioxide production",NA
312,"Ventilation","Ventilation parameters","End tidal carbone dioxyde concentration",NA
313,"Ventilation","Ventilation parameters","Horowitz index","# Definition

The Horowitz index (also known as PaO2/FiO2 ratio or P/F ratio) is a measure of oxygenation efficiency calculated as the ratio of partial pressure of oxygen in arterial blood (PaO2) to the fraction of inspired oxygen (FiO2), expressed in **mmHg** when FiO2 is expressed as a decimal (e.g., 0.4 for 40% oxygen). Normal values range approximately from 400-500 mmHg in healthy adults at sea level.

**Calculation:** Horowitz index = PaO2 (mmHg) / FiO2 (decimal)

# Mapping Strategy

Prioritize using the arterial blood specimen concept (most clinically relevant for ARDS assessment). Use temperature-corrected concepts only when blood gas values were temperature-corrected by the analyzer for hypothermic or hyperthermic patients.

**Important:** The Horowitz index can be calculated directly from its component values (PaO2 from blood gas analysis and FiO2 from ventilator settings). **Calculating from the original component values is more accurate** than using a pre-calculated stored value, as it ensures you start from the true initial measurements.

## Recommended concepts

**Default and arterial blood concepts:**

- **Horowitz index in Arterial blood** (LOINC 3029943): Use for arterial blood gas measurements (standard for ARDS assessment and severity scoring)
- **Horowitz index adjusted to patients actual temperature in Arterial blood** (LOINC 3029268): Use when PaO2 was temperature-corrected for hypothermic or hyperthermic patients

**Alternative specimen types (less common):**

- **Horowitz index in Blood** (LOINC 3029880): Generic blood specimen (use when arterial vs venous distinction is unavailable)
- **Horowitz index in Capillary blood** (LOINC 3030774): Capillary blood gas sample
- **Horowitz index in Mixed venous blood** (LOINC 3029599): Mixed venous blood (from pulmonary artery catheter)
- **Horowitz index in Venous blood** (LOINC 3029316): Venous blood gas sample

**Temperature-corrected concepts (for hypothermic/hyperthermic patients):**

- **Horowitz index adjusted to patients actual temperature in Blood** (LOINC 3029906): Temperature-corrected, generic blood specimen
- **Horowitz index adjusted to patients actual temperature in Capillary blood** (LOINC 3032208): Temperature-corrected, capillary blood
- **Horowitz index adjusted to patients actual temperature in Mixed venous blood** (LOINC 3029523): Temperature-corrected, mixed venous blood
- **Horowitz index adjusted to patients actual temperature in Venous blood** (LOINC 3032443): Temperature-corrected, venous blood

# Important Notes

- **ARDS severity classification (Berlin definition)**: Mild ARDS = 200-300 mmHg; Moderate ARDS = 100-200 mmHg; Severe ARDS = <100 mmHg. Values >300 mmHg are not consistent with ARDS
- **Calculation from components is preferred**: Rather than storing pre-calculated Horowitz index values, calculate directly from PaO2 (from blood gas analysis) and FiO2 (from ventilator settings) to ensure accuracy and traceability to source measurements
- The P/F ratio is widely used in severity scoring systems (APACHE IV, SOFA, SAPS-II, SAPS-III) to assess respiratory function
- **Temperature correction**: Blood gas analyzers typically warm blood to 37°C before analysis. Temperature-corrected values are primarily relevant for hypothermic or hyperthermic patients, where temperature significantly affects gas solubility
- **Arterial blood is standard**: Use arterial blood gas measurements for ARDS assessment and clinical decision-making. Venous or capillary measurements are not equivalent and should not be used for ARDS classification
- Example calculation: A patient on FiO2 0.6 (60%) with PaO2 of 120 mmHg has a Horowitz index of 120 / 0.6 = 200 mmHg (moderate ARDS)"
314,"Ventilation","Ventilation parameters","Inspiratory pressure setting","# Definition

Inspiratory pressure setting refers to the target pressure set on a mechanical ventilator to be delivered during inspiration, expressed in **cmH2O** or **mmHg**. This parameter is used in pressure-controlled ventilation modes and noninvasive ventilation (IPAP in BiPAP/NIV). Typical ICU settings range from 10-25 cmH2O above PEEP/EPAP.

# Mapping Strategy

Use the single SNOMED concept for inspiratory pressure setting. This represents the prescribed/set inspiratory pressure, not measured peak or plateau pressure.

## Recommended concepts

**Default concept:**

- **Inspiratory pressure setting** (SNOMED 4215838): Use for all inspiratory pressure settings on mechanical ventilators

# Important Notes

- **Pressure-controlled modes**: In pressure-controlled ventilation (PCV), pressure-support ventilation (PSV), or bilevel modes, this is the target inspiratory pressure set on the ventilator. Tidal volume will vary based on patient compliance and resistance
- **Noninvasive ventilation**: In BiPAP/NIV, this corresponds to IPAP (Inspiratory Positive Airway Pressure). The difference between IPAP and EPAP determines tidal volume
- **Relationship to other pressures**: Inspiratory pressure setting = Pressure Support + PEEP (in pressure support modes). For example, if PEEP is 5 cmH2O and pressure support is 10 cmH2O, inspiratory pressure setting is 15 cmH2O
- Do not confuse with peak inspiratory pressure (PIP), which is the measured maximum pressure during inspiration, or plateau pressure (Pplat), which is measured during inspiratory pause
- Unit conversion: 1 cmH2O ≈ 0.74 mmHg (or 1 mmHg ≈ 1.36 cmH2O)"
